Status,Step #,Rack Placement/Note,Business Name,Address,City,State,ZIP,Highway/Exit,Notes
Active,4,Lobby,BAYMONT INN & SUITES,8110 OLD TROY PK,HUBER HEIGHTS,OH,45424.0,I-70 & HUBER HTS (EXIT 36),
Active,19,Lobby,BAYMONT INN & SUITES,319 E LEFFEL LN,SPRINGFIELD,OH,45505.0,1-70 & EXIT 54 (OH 72),
Active,28,Right of lobby,BAYMONT INN & SUITES,950 E ASH ST,PIQUA,OH,45356.0,I-75 & EXIT 82,
Active,44,Lobby,BAYMONT INN & SUITES,27441 HELEN DR,PERRSYBURG,OH,27441.0,I-75 US 20 & US 23 (EXIT 193),
Active,49,Lobby,BAYMONT INN & SUITES,2426 OREGON RD,TOLEDO,OH,43619.0,I-75 & WALES RD,
Active,71,Lobby,BAYMONT INN & SUITES,40 NEW GARVER RD,MONROE,OH,45050.0,I-75 & EXIT 29 (NEW GARVER RD),
Active,37,Foyer,BEST WESTERN,1008 LUNAR DR,WAPAKONETA,OH,45895.0,I-75 & LUNAR DR (EXIT 111),
Active,41,Hall to vending,BEST WESTERN,1450 E WOOSTER ST,BOWLING GREEN,OH,43402.0,"I-75 & OH 64,OH 105 (EXIT 181)",
Active,57,Behind office,BEST WESTERN,6425 KIT LANE,MAUMEE,OH,43537.0,I-475 EXIT 6,
Active,33,Lobby,BUDGET HOST INN,505 E STATE ST,BOTKINS,OH,45306.0,I-75 & OH 219 (EXIT 104),
Active,8,Foyer,COMFORT INN,7907 BRANDT PK,HUBER HEIGHTS,OH,45424.0,I-70 & OH 201 (EXIT 38),
Active,40,Lobby,COMFORT INN,1210 NEUBRECHT RD,LIMA,OH,45801.0,I-75 & OH 81 (EXIT 127),
Active,68,Foyer behind lobby-vend,COMFORT INN,15 SHARTS RD,SPRINGBORO,OH,45066.0,"I-75 & SHARTS RD, OH 73 (EXIT 38)",
Active,2,Foyer,COMFORT INN & SUITES,9305 N MAIN ST,DAYTON,OH,45415.0,I-70 & EXIT 29,
Active,55,Lobby,COMFORT INN & SUITES,1702 TOLL GATE DR,MAUMEE,OH,43537.0,I-80/90 & TOLL GATE DR,
