Status,Step #,Rack Placement/Note,Business Name,Address,City,State,ZIP,Highway/Exit,Notes
Active,1,LOBBY,DAYS INN,1849 STRINGTOWN RD,COLUMBUS,OH,,1-71 & EXIT 100,
Active,2,LOBBY,GROVE CITY TRAVEL INN,4029 MARLANE DR,GROVE CITY,OH,,1-71 & EXIT 100,
Active,3,HALLWAY INSIDE DOOR,MOTEL 6,1900 STRINGTOWN RD,GROVE CITY,OH,,I-71 & EXIT 100,
Active,4,FOYER,RED ROOF,4530 WEST BROAD ST,COLUMBUS,OH,,I-270 & EXIT 7,
Active,5,FOYER,HOLIDAY INN EXPRESS,100 HOLIDAY TRAIL NE,LONDON,OH,,I-70 & EXIT 79,
Active,7,LEFT HALL VENDING,BEST WESTERN,1133 EVANS WAY,COLUMBUS,OH,,I-70 & EXIT 91B,
Active,8,2nd FL LFT ELEVATOR,COUNTRY INN AND SUITES,1155 EVANS CT,COLUMBUS,OH,,I-70 & EXIT 91B,
Active,9,FOYER,SUPER 8,5655 FEDER RD,COLUMBUS,OH,,I-70 & EXIT 91A,
Active,10,RT HALL VENDING,COMFORT SUITES,5547 KEIM CIRCLE,COLUMBUS,OH,,I-70 & EXIT 91B,
Active,11,STRAIGHT VENDING,MOTEL 6,1309 ST JAMES LUTHERAN,COLUMBUS,OH,,I-70 & EXIT 91B,
Active,12,RT OF DESK,FAIRFIELD INN & SUITES,5520 MAXWELL PL,COLUMBUS,OH,,I-70 & EXIT 91,
Active,13,FOYER,LA QUINTA,5510 TRABUE RD,COLUMBUS,OH,,I-70 & EXIT 91,
Active,14,FOYER,QUALITY INN,2340 WESTBELT DR,COLUMBUS,OH,,I-70 & EXIT 91*,
Active,15,LOBBY,AMERIVU INN & SUITES,4320 GROVES RD,COLUMBUS,OH,,I-70 & EXIT 107,
Active,16,LAUNDRY ROOM,QUALITY INN,2055 BRICE RD,COLUMBUS,OH,,I-70 & EXIT 110,
Active,17,FOYER,LA QUINTA MOTOR INN,2447 BRICE RD,COLUMBUS,OH,,I-70 & EXIT 110,
Active,18,,DAYS INN,2100 BRICE RD,REYNOLDSBURG,OH,,I-70 & EXIT 110,
