Status,Step #,Rack Placement/Note,Business Name,Address,City,State,ZIP,Highway/Exit,Notes
Active,1,Lobby,QUALITY INN,141 INN RD,CARROLLTON,KY,41008.0,I-71 & EXIT 44,
Active,2,Lobby,MOTEL 6,164 WINNING COLORS DR,RICHWOOD,KY,41094.0,I-75 & EXIT 173/AIRPORT,
Active,3,Lobby,WILDWOOD INN,7809 US HWY 42,FLORENCE,KY,41042.0,I-75 & EXIT 180,
Active,4,Lobby,ROADWAY INN,7928 DREAM ST,FLORENCE,KY,41042.0,I-75/71 & US 42,
Active,5,Lobby,MOTEL 6,7820 COMMERCE DR,FLORENCE,KY,41042.0,I-75 & EXIT 181,
Active,6,Foyer,MICROTEL INN & SUITES,7490 WOODSPOINT DR,FLORENCE,KY,41042.0,I-75 & EXIT 181,
Active,8,Downstairs,ASHLEY QUARTERS,4880 HOUSTON RD,FLORENCE,KY,41042.0,I-75 & TURFWAY RD,
Active,9,Lobby,QUALITY INN & SUITES,30 CAVALIER BLVD,FLORENCE,KY,41042.0,I-75 & EXIT 182,
Active,10,Lobby,DAYS INN,50 CAVALIER BLVD,FLORENCE,KY,41042.0,I-75 & EXIT 182,
Active,11,Lobby/by elevator,COMFORT SUITES,5905 MERCHANTS ST,FLORENCE,KY,41042.0,I-75 & EXIT 182,
Active,12,In lobby next to front door,FAIRFIELD INN,5910 MERCHANT ST,FLORENCE,KY,,I-75 & EXIT 182,
Active,13,Lobby,WINGATE BY WYNDHAM,605 VIOX ROAD,ERLANGER,KY,41018.0,I-75 Exit 184,
Active,14,Lobby,ECONOLODGE,633 DONALDSON RD,ERLANGER,KY,41018.0,I-75/71 & EXIT 184,
Active,15,Right of lobby,COUNTRY INN & SUITES,759 PETERBURG RD,HEBRON,KY,41048.0,I-275 & EXIT 4A,
Active,16,Lobby,QUALITY INN,1805 AIRPORT EXCHANGE BLVD,ERLANGER,KY,41018.0,I-275 & EXIT 2,
Active,17,Outside vending area,SUPER 8,2350 ROYAL DR,FT. MITCHELL,KY,41017.0,I-75 & EXIT 186,
Active,18,Past elevators by back entrance,HOLIDAY INN EXPRESS,200 CRESCENT AVE,COVINGTON,KY,41011.0,I-75/71 & EXIT 192,
Active,19,Exit foyer,NEWPORT AQUARIUM,1 AQUARIUM WAY,NEWPORT,KY,41071.0,1 AQUARIUM WAY,
