Status,Step #,Rack Placement/Note,Business Name,Address,City,State,ZIP,Highway/Exit,Notes
Active,1,,REGAL INN,2029 S CHURCH ST,MURFREESBORO,TN,37130.0,I-24 & US 231,
Active,2,,RAMADA LTD.,1855 S CHURCH ST,MURFREESBORO,TN,37130.0,I-24 & US 231 (EXIT 81B),
Active,3,,ECONOLODGE,3894 NASHVILLE RD,FRANKLIN,KY,42134.0,I-65 & US 31W (EXIT 2),
Active,4,,BAYMONT INN,162 ANAND DRIVE,FRANKLIN,KY,42134.0,I-65 & US 31W (EXIT 2),
Active,5,,HOLIDAY INN EXPRESS,85 NEHA DR,FRANKLIN,KY,42134.0,I-65 & EXIT 2,
Active,6,,SUPER 8 MOTEL,3811 NASHVILLE RD,FRANKLIN,KY,42134.0,I-65 & US 31W (EXIT 2),
Active,7,,RED ROOF INN,2805 SCOTTSVILLE RD,FRANKLIN,KY,42134.0,I-65 & KY 100 (EXIT 6),
Active,8,,DAYS INN,103 TROTTER LN,FRANKLIN,KY,42134.0,I-65 & EXIT 6,
Active,9,,COMFORT SUITES,105 TROTTER LN,FRANKLIN,KY,42134.0,I-65 & EXIT 6,
Active,10,,SURESTAY,700 INTERSTATE DR,BOWLING GREEN,KY,42101.0,I-65 & US 31W (EXIT 28),
Active,11,,L&N DEPOT,401 KENTUCKY ST,BOWLING GREEN,KY,42101.0,I-65 & EXIT 28,
Active,12,,STAYBRIDGE SUITES,680 CAMPBELL LN,BOWLING GREEN,KY,42101.0,I-65 & EXIT 22,
Active,13,,COMFORT SUITES,1211 KENILWOOD WAY,BOWLING GREEN,KY,42104.0,I-65 & EXIT 22,
Active,14,,AMERICA'S BEST VALUE INN,3139 SCOTTSVILLE RD,BOWLING GREEN,KY,42104.0,I-65 & US 231 (EXIT 22),
Active,15,,KOA CAMPGROUND,1960 THREE SPRINGS RD,BOWLING GREEN,KY,42104.0,I-65 & US 231 (EXIT 22),
Active,16,,DRURY INN,3250 SCOTTSVILLE RD,BOWLING GREEN,KY,42104.0,I-65 & US 231 (EXIT 22),
Active,17,,COUNTRY INN & SUITES,535 WALL ST,BOWLING GREEN,KY,42103.0,I-65 & EXIT 22,
Active,18,,RED ROOF INN,3140 SCOTTSVILLE RD,BOWLING GREEN,KY,42104.0,I-65 & US 231,
Active,19,,BAYMONT INN,1919 MEL BROWINING ST,BOWLING GREEN,KY,42104.0,I-65 & US 231 (EXIT 22),
Active,20,,LA QUINTA,1953 MEL BROWNING ST,BOWLING GREEN,KY,42104.0,I-65 & EXIT 22,
Active,21,,RAMADA INN,4767 SCOTTSVILLE RD,BOWLING GREEN,KY,42104.0,I-65 & US 231 (EXIT 22),
Active,22,,QUALITY INN,166 CUMBERLAND TRACE,BOWLING GREEN,KY,43402.0,I-65 & US 231 (EXIT 22),
Active,23,,VETTE CITY HOTEL,4700 SCOTTSVILLE RD,BOWLING GREEN,KY,42101.0,I-65 & US 231 (EXIT 22),
Active,24,,SUPER 8 MOTEL,250 CUMBERLAND TR,BOWLING GREEN,KY,42101.0,I-65 & EXIT 22,
Active,25,,DAYS INN,1006 DOYLE AVE,CAVE CITY,KY,42127.0,I-65 & EXIT 53,
Active,26,,STAR HOTEL,908 S DIXIE HWY,CAVE CITY,KY,42127.0,I-65 & EXIT 53,
Active,27,,BAYMONT INN,799 MAMMOTH CAVE ST,CAVE CITY,KY,42127.0,1-65 & KY 70/90 (EXIT 53),
Active,28,,SLEEP INN & SUITES,801 MAMMOTH CAVE ST,CAVE CITY,KY,42127.0,I-65 & EXIT 53,
Active,29,,RED ROOF INN & SUITES,807 MAMMOTH CAVE RD,CAVE CITY,KY,42127.0,I-65 & KY 70/90 (EXIT 53),
Active,30,,QUALITY INN & SUITES*,425 FLINT RIDGE RD,HORSE CAVE,KY,42749.0,I-65 & KY 218 (EXIT 58),
Active,31,,HOLIDAY INN EXPRESS,130 THE LOOP,ELIZABETHTOWN,KY,42701.0,I-65 & EXIT 94,
Active,32,,HOMEGATE INN,905 N MULBERRY ST,ELIZABETHTOWN,KY,42701.0,I-65 & EXIT 94,
Active,33,,FAIRFIELD INN & SUITES,1031 EXECUTIVE DR,ELIZABETHTOWN,KY,42701.0,I-65 & EXIT 94,
Active,34,,SUPER 8 MOTEL,275 KEYSTONE CROSSROADS DR,SHEPERDSVILLE,KY,40165.0,I-65 & EXIT 117,
Active,35,,BEST WESTERN,211 S LAKEVIEW DR,SHEPERDSVILLE,KY,40165.0,I-65 & KY 44 (EXIT 117),
Active,36,,GARDEN INN,130 S LAKEVIEW DR,SHEPERDSVILLE,KY,40165.0,I-65 & KY 44 (EXIT 117),
Active,37,,KOA CAMPGROUND,2433 EAST 4TH ST,SHEPERDSVILLE,KY,40165.0,I-65 & KY 44 (EXIT 117),*Temporarily closed for renovations
Removed,,,,,,,,,UNPARSED
Removed,,Too Far 2'25,AMBASSADOR INN,925 INTERSTATE DR,MANCHESTER,TN,,I-24 & EXIT 110,
Removed,,Too Far 2'25,BEST WESTERN,1602 DIANA SHORE BLVD,WINCHESTER,TN,,I-40 & 41 A,
Removed,,3'25,SCOTTISH INN*,526 MURFREESBORO RD,NASHVILE,TN,37210.0,I-24 & MURFREESBORO RD,*Tim said VERY old brochures/lobby locked/removed AR sticker/owner didn’t want us inside
Removed,,6'25,HOLIDAY INN/UNIVERSITY PLAZA,1021 WILKINSON TRACE,BOWLING GREEN,KY,42103.0,I-65 & EXIT 22,^will be renovating & no rack will be allowed by owner & brand
Removed,,3'26,BUDGET HOST,5343 LONG RD,PORTLAND,TN,37148.0,I-65 & TN 52 (EXIT 117) & LONG RD,
Removed,,,,,,,,,UNPARSED
Removed,,5'26,MOTEL 6,144 N JOE B HALL AVE,SHEPERDSVILLE,KY,40165.0,I-65 & KY 44 (EXIT 117),^getting kiosk- had tim remove our rack
Removed,,6'26,BEST WESTERN,362 BRENTON WAY,SHEPERDSVILLE,KY,40165.0,I-65 & EXIT 121,^Becoming Marriott- won't allow
