Status,Step #,Rack Placement/Note,Business Name,Address,City,State,ZIP,Highway/Exit,Notes
Active,1,,MOTEL 6,1532 S HIGHWAY 27,SOMERSET,KY,42501.0,I-75 TO US 27,
Active,2,,SUPER 8 BY WYNDHAM,30 W HIGHWAY 92,WILLIAMSBURG,KY,40769.0,I-75 & EXIT 11,
Active,3,,HOLIDAY INN EXPRESS,56 W HIGHWAY 92,WILLIAMSBURG,KY,40769.0,I-75 & EXIT 11 (KY),
Active,4,,MOTEL 6,1891 CUMBERLAND FALLS HWY,CORBIN,KY,40701.0,I-75 & US 25(EXIT 25),
Active,5,,SUPER 8 BY WYNDHAM,171 W CUMBERLAND GAP PKWY,CORBIN,KY,40701.0,I-75 & US 25E (EXIT 29),
Active,6,,COMFORT INN & SUITES,25 HWY 770,CORBIN,KY,40701.0,I-75 & EXIT 29,
Active,7,,CORBIN INN,37 HWY 770,CORBIN,KY,40701.0,I-75 & US 25E (EXIT 29),
Active,8,,QUALITY SUITES,47 ADAMS RD,CORBIN,KY,40701.0,I-75 & EXIT 29,
Active,9,,BAYMONT INN & SUITES,174 ADAMS RD,CORBIN,KY,40701.0,I-75 & ADAMS RD (EXIT 29),
Active,10,,MICROTEL INN & SUITES,1895 HWY 192 W,LONDON,KY,40741.0,I-75 & KY 192 (EXIT 38),
Active,11,,HOLIDAY INN EXPRESS,506 MINTON DR,LONDON,KY,40741.0,I-75 & KY 192 (EXIT 38),
Active,12,,BAYMONT INN & SUITES,2075 HWY 192 W,LONDON,KY,40741.0,I-75 & KY 192 (EXIT 38),
Active,13,,COMFORT SUITES,1918 HWY 192 W,LONDON,KY,40741.0,I-75 & KY 192 (EXIT 38),
Active,14,,HERITAGE INN & SUITES,363 HIGHWAY 80,MANCHESTER,KY,40962.0,I-75 & EXIT 41(EX IT 20/ HAL ROGERS),
Active,15,,QUALITY INN,400 GOP ST,LONDON,KY,40471.0,I-75 & KY 80E,
Active,16,,ECONOLODGE*,105 MELCON,LONDON,KY,40475.0,I-75 & KY 80 E (EXIT 41),
Active,17,,RED ROOF INN,110 MELCON LN,LONDON,KY,40741.0,I-75 & EXIT 41,
Active,18,,FAIRFIELD INN & SUITES,25 AMARILLO DR,LONDON,KY,40741.0,I-75 &,
Active,19,,KOA CAMPGROUND,184 KOA CAMPGROUND RD,MT VERNON,KY,40456.0,I-75,
Active,20,,KENTUCKY MUSIC HALL OF FAME,2590 RICHMOND RD,RENFRO VALLEY,KY,40473.0,I-75 & EXIT 62,
Active,21,,BAYMONT INN & SUITES,2090 RICHMOND ST,RENFRO VALLEY,KY,40456.0,I-75 & EXIT 62 & RICHMOND,
Active,22,,FAIRBRIDGE INN,1375 RICHMOND ST,MT VERNON,KY,40456.0,I-75 & US 25 (EXIT62),
Active,23,,MARATHON/WENDY’S,1250 RICHMOND ST,MT. VERNON,KY,40456.0,I-75 & EXIT 62,
Active,24,,RED ROOF INN,196 PRINCE ROYAL DR,BEREA,KY,40403.0,I-75 & KY 21 (EXIT 76),
Active,25,,QUALITY INN,365 PEGGY FLAT RD,BEREA,KY,40403.0,I-75 & EXIT,
Active,26,,BAYMONT INN & SUITES,100 EASTERN BYPASS,RICHMOND,KY,40475.0,I-75 & US 876 (EXIT 87),
Active,27,,COMFORT SUITES,2007 COLBY TAYLOR DR,RICHMOND,KY,40475.0,I-75 & EXIT 87,
Active,28,,QUALITY INN,2006 COLBY TAYLOR DR,RICHMOND,KY,40475.0,I-75 & US 876 (EXIT 87),
Active,30,,DAYS INN,2109 BELMONT DR,RICHMOND,KY,40475.0,I-75 & US 421 (EXIT 90),
Active,31,,CLARION POINTE,1751 LEXINGTON RD,RICHMOND,KY,40475.0,I-75 & US 421 (EXIT 90A),
Active,32,,MOTEL 6,1698 NORTHGATE DR,RICHMOND,KY,40475.0,I-75 & US 421 (EXIT 90),
Active,33,,RELAX INN,1688 NORTHGATE,RICHMOND,KY,40475.0,I-75 & US 421 (EXIT 90A),
Active,34,,RED ROOF INN,111 BAHAMA CT,RICHMOND,KY,40475.0,I-75 & EXIT 90A,
Active,35,,DAYS INN,1417 5TH ST,JELLICO,TN,37762.0,I-75 & US 25W (EXIT 160) -Close to KY border,
Active,36,,MAINSTAY SUITES,144 MERCHANTS DR,KNOXVILLE,TN,37912.0,I-75 & MERCHANTS DR. (EXIT 108),
Active,37,,QUALITY INN,117 CEDAR LANE,KNOXVILLE,TN,37912.0,I-75 & EXIT 108,
Active,38,,LA QUINTA,12400 HWY 72 N,LOUDON,TN,37774.0,I-75 & EXIT 72,
Active,39,,AMERICA’S BEST VALUE INN,15100 TN 72,LOUDON,TN,37774.0,I-75 & TN 72,
Active,40,,INN OF LOUDON,12452 HWY 72 N,LOUDON,TN,37774.0,I-75 & TN 72,
Active,41,,QUALITY INN,249 HWY 68,SWEETWATER,TN,37874.0,I-75 TN 68 (EXIT 60),
Active,42,,QUALITY INN,153 JAMES ASBURY DR NW,CLEVELAND,TN,37312.0,I-75 & HUFF (EXIT 27),
Active,43,,CLARION INN,185 JAMES ASBURY DR NW,CLEVELAND,TN,37312.0,I-75 & HUFF WAY(EXIT 27),
Active,44,,RODEWAY INN,2595 GEORGETOWN RD NW,CLEVELAND,TN,37311.0,I-75 & TN 60 (EXIT 25),
Active,45,,DAYS INN,2550 GEORGETOWN RD NW,CLEVELAND,TN,37311.0,I-75 & GEORGETOWN RD NW (EXIT 25),
Active,46,,HERITAGE INN,1631 GUTHRIE DR NW,CLEVELAND,TN,37311.0,I-75 & EXIT 25,
Active,47,,HAMPTON INN,6145 WEIR WAY,OOLTEWAH,TN,37363.0,I-75 & EXIT 11,
