Status,Step #,Rack Placement/Note,Business Name,Address,City,State,ZIP,Highway/Exit,Notes
Active,1,,HOLIDAY INN EXPRESS,1780 SHARKEY WAY,LEXINGTON,KY,40511.0,NEW CIRCLE RD & EXIT 7,
Active,2,,HYATT REGENCY HOTEL,401 W HIGH ST,LEXINGTON,KY,40507.0,BROADWAY & HIGH ST/DOWNTOWN,
Active,3,,CANDLEWOOD SUITES,603 AD COLOR DR,LEXINGTON,KY,40511.0,I-75 & EXIT 115,
Active,4,,MOTEL 6,750 NEWTOWN CT,LEXINGTON,KY,40511.0,I-64/I-75 & EXIT 115,
Active,5,,RESIDENCE INN BY MARRIOTT,1080 NEWTOWN PIKE,LEXINGTON,KY,40511.0,I-64/I-75 & EXIT 115,
Active,6,,EVERHOME SUITES by CHOICE HOTELS,757 NEWTOWN SPRINGS DR,LEXINGTON,KY,40511.0,I-64/I-75 & EXIT 115 off Newtown Pike,
Active,7,,MARRIOTT GRIFFIN GATE RESORT,1800 NEWTOWN PIKE,LEXINGTON,KY,40511.0,I-64/I-75 & EXIT 115,
Active,8,,CLARION HOTEL,1950 NEWTOWN PIKE,LEXINGTON,KY,40511.0,I-64/I-75 & EXIT 115,
Active,9,,QUALITY INN HORSE PARK,1938 STANTON WAY,LEXINGTON,KY,40511.0,I-64/I-75 & EXIT 115,
Active,10,,LA QUINTA INN & SUITES,1920 STANTON WAY,LEXINGTON,KY,40511.0,I-64/I-75 & EXIT 115,
Active,11,,DAYS INN & SUITES,1987 N BROADWAY,LEXINGTON,KY,40505.0,I-64/I-75 EXIT 113,
Active,12,,RED ROOF INN,1980 HAGGARD CT,LEXINGTON,KY,40505.0,I-64/I-75 EXIT 113,
Active,13,,BEST WESTERN,2011 ALVERSON DR,PARIS,KY,40361.0,US HWY 27/68(Paris Bypass),
Active,14,,COMFORT INN,5250 REVILO RD,WINCHESTER,KY,40391.0,I-64 & EXIT 94,
Active,15,,VALUE STAY,5100 REVILO RD,WINCHESTER,KY,40391.0,I-64 & EXIT 94,
Active,16,,HOLIDAY INN EXPRESS,100 WINCHESTER PLAZA,WINCHESTER,KY,40391.0,I-64 & EXIT 94,
Active,17,,SUPER 8,2351 BUENA VISTA RD,LEXINGTON,KY,40505.0,I-75 & EXIT 110,
Active,18,,SPARK BY HILTON,2381 BUENA VISTA RD,LEXINGTON,KY,40505.0,I-75 & EXIT 110 off Winchester Rd,
Active,19,,COMFORT INN & SUITES,2400 BUENA VISTA RD,LEXINGTON,KY,40505.0,I-75 & EXIT 110 off Winchester Rd,
Active,20,,MOTEL 6,2260 ELKHORN RD,LEXINGTON,KY,40505.0,I-75 & EXIT 110,
Active,21,,RED ROOF INN,2241 ELKHORN RD,LEXINGTON,KY,40505.0,I-75 & EXIT 110 off Winchester Rd,
Active,22,,GUESTHOUSE INN & SUITES,2261 ELKHORN RD,LEXINGTON,KY,40505.0,I-75 & EXIT 110 off Winchester Rd,
Active,23,,COUNTRY INN & SUITES,2297 EXECUTIVE DR,LEXINGTON,KY,40505.0,I-75 & EXIT 110 off Winchester Rd,
Active,24,,SLEEP INN,1920 PLAUDIT PL,LEXINGTON,KY,40509.0,I-75 & EXIT 108,
Active,25,,HOTEL LEX,5532 ATHENS BOONESBORO RD,LEXINGTON,KY,40509.0,I-75 & EXIT 104,
Active,26,,ECONOLODGE,5527 ATHENS BOONESBORO RD,LEXINGTON,KY,40509.0,I-75 & EXIT 104,
Active,27,,EXTENDED STAY AMERICA,3575 TATES CREEK RD,LEXINGTON,KY,45017.0,New Circle & Tates Creek Rd,
Active,28,,RED ROOF INN,2651 WILHITE DR,LEXINGTON,KY,40503.0,New Circle & Nicholasville Rd,
Active,29,,EXTENDED STAY AMERICA,2650 WILHITE DR,LEXINGTON,KY,40503.0,New Circle & Nicholasville Rd,
Active,30,,TOWNEPLACE SUITES,980 MIDNIGHT PASS,LEXINGTON,KY,40513.0,Beaumont Ctr/Airport,
Active,31,,COMFORT SUITES,3060 FIELDSTONE WAY,LEXINGTON,KY,40513.0,Harrodsburgs Rd- Beaumont Center,
Active,32,,HOLIDAY INN EXPRESS,1000 VANDALAY DR,FRANKFORT,KY,40601.0,I-64 & EXIT 53B,
Active,33,,CAPITAL PLAZA HOTEL,405 WILKINSON BLVD,FRANKFORT,KY,40601.0,WILKINSON BLVD/DOWNTOWN,
Active,34,,FAIRFIELD INN & SUITES,40 CHENAULT RD,FRANKFORT,KY,40601.0,I-64 & US 60,
Active,35,,KY HORSE PARK CAMPGROUND,4089 IRON WORKS PKWY,LEXINGTON,KY,40511.0,I-75 & EXIT 120,
Active,36,,RED ROOF INN,3075 PARIS PK,GEORGETOWN,KY,40224.0,I-75 & EXIT 125,
