Status,Step #,Rack Placement/Note,Business Name,Address,City,State,ZIP,Highway/Exit,Notes
Active,1,,SUPER 8,1420 E CRYSTAL DR,LaGRANCE,KY,40031.0,I-71 & EXIT 22,
Active,2,,DRURY INN & SUITES,9599 BROWNSBORO RD,LOUISVILLE,KY,40241.0,I-265 & BROWNSBORO RD (EXIT 35),
Active,3,,HILTON GARDEN INN,9850 PARK PLAZA,LOUISVILLE,KY,40241.0,I-265 & BROWNSBORO RD (EXIT 35),
Active,4,,HOLIDAY INN EXPRESS,3711 CHAMBERLAIN LN,LOUISVILLE,KY,40241.0,I-265 & WESTPORT RD,
Active,5,,SPRINGHILL SUITES BY MARRIOTT,10101 FOREST GREEN BLVD,LOUISVILLE,KY,40223.0,NORTH HURSTBOURNE PKWY,
Active,6,,EMBASSY INN & SUITES,9940 CORPORATE CAMPUS DR,LOUISVILLE,KY,40223.0,N. HURSTBOURNE PKWY,
Active,7,,RESIDENCE INN BY MARRIOTT,401 BULLIITT LANE/OXMOOR CTR,LOUISVILLE,KY,40222.0,I-264 & SHELBYVILLE RD,
Active,8,,BUDGETEL INN,3304 BARDSTOWN RD,LOUISVILLE,KY,40218.0,I-264 & BARDSTOWN RD,
Active,9,,WINGATE BY WYNDHAM,3200 KEMMONS DR,LOUISVILLE,KY,40218.0,I-264 & NEWBURG RD,
Active,10,,RED ROOF INN,3322 RED ROOF IN PL,LOUISVILLE,KY,40218.0,I-264 & NEWBURG RD,
Active,11,,LOUISVILLE ZOO,1100 TREVILIAN WAY,LOUISVILLE,KY,40213.0,1100 TREVILIAN WAY,
Active,12,,DRURY INN & SUITES,9501 BLAIRWOOD RD,LOUISVILLE,KY,40222.0,I-64 & HURSTBOURNE LN,
Active,13,,RED ROOF INN,9330 BLAIRWOOD RD,LOUISVILLE,KY,40222.0,I-64 & BLAIRWOOD RD,
Active,14,,RED CARPET INN,1640 SO HURSTBOURNE PKWY,LOUISVILLE,KY,40299.0,I-64 & HURSTBOURNE PKWY,
Active,15,,BEST WESTERN,9802 BUNSEN WAY,LOUISVILLE,KY,40299.0,I-64 & HURSTBOURNE LN,
Active,16,,MARRIOTT EAST,1903 EMBASSY SQ BLVD,LOUISVILLE,KY,40299.0,I-64 & HURSTBOURNE LN,
Active,17,,STAYBRIDGE SUITES,1711 GATEWORTH LN,LOUISVILLE,KY,40299.0,GATEWORTH LN/OFF BLANKENBAKER,
Active,18,,CLARION POINTE (QUALITY INN),1301 KENTUCKY MILLS,LOUISVILLE,KY,40299.0,I-64 & BLANKENBAKER/WAS JAMESON INN,
Active,19,,FAIRFIELD INN & SUITES,1220 KENTUCKY MILLS DR,LOUISVILLE,KY,40299.0,I-64 & BLANKENBAKER (KY MILL),
Active,20,,MICROTEL,1221 KENTUCKY MILLS DR,LOUISVILLE,KY,40299.0,I-64 & BLANKENBAKER (KY MILL),
Active,21,,BLANKENBAKER INN,1850 PRIORITY,LOUISVILLE,KY,40299.0,I-64 & BLANKENBAKER,
