Status,Step #,Rack Placement/Note,Business Name,Address,City,State,ZIP,Highway/Exit,Notes
Active,1,,QUALITY INN KNOXVILLE NORTH,120 WELCOME LN,CLINTON,TN,,#I-75 & EXIT 122/WELCOME LN,
Active,75,,hotel list too,2 MAINSTAY SUITES,144 MERCHANTS DR,,,"KNOXVILLE, TN #I-75 & MERCHANTS DR (EXIT 108)",**on I-
Active,75,,hotel list too,3 QUALITY INN,117 CEDAR LN,,,"KNOXVILLE, TN #I-75 & EXIT 108",**on I-
Active,4,,MOTEL 6,5640 MERCHANT CTR BLVD,KNOXVILLE,TN,,I-75 & EXIT 108,
Active,5,,FAIRFIELD INN,1551 CRACKER BARREL LN,KNOXVILLE,TN,,#I-40 & STRAWBERRY PLAINS PIKE ( EXIT 398),
Active,6,,SUPER 8,7585 CROSSWOOD BLVD,KNOXVILLE,TN,,#I-40 & STRAWBERRY PLAINS PIKE (EXIT 398),
Active,7,,TRAVELODGE,7471 CROSSWOOD BLVD,KNOXVILLE,TN,,#I-40 & STRAWBERRY PLAINS PIKE (EXIT 398),
Active,8,,SLEEP INN,11341 CAMPBELL LAKES DR,KNOXVILLE,TN,,#I-40/75 & EXIT 373,
Active,9,,HOLIDAY INN EXPRESS,816 N CAMPBELL STATION RD,KNOXVILLE,TN,,#I-40/I-75 & EXIT 373,
Active,10,,DAYS INN,1110 HWY 321 N,LENOIR CITY,TN,,I-40 & Exit 364- Go 75 South (Keith),
Active,11,,SURE STAY INN BY BEST WESTERN,400 INTERCHANGE PARK DR,LENOIR CITY,TN,,I-40 & Exit 364- Go 75 South (Keith),
Active,12,,MOTEL 6,495 GALLAHER RD,KINGSTON,TN,,#I-40 & GALLAHER RD (EXIT 356),
Active,13,,SUPER 8,905 N KENTUCKY ST,KINGSTON,TN,,#I-40 & EXIT 352,
Active,14,,LAKEVIEW INN,1200 N KENTUCKY ST,KINGSTON,TN,,#I-40 & HWY 58 (EXIT 352),
Active,15,,COMFORT INN,1867 S ROANE ST,HARRIMAN,TN,,#I-40&US 27 (EXIT 347),
Active,16,,HOLIDAY INN EXPRESS,1885 S ROANE ST,HARRIMAN,TN,,#I-40 & US 27 (EXIT 347),
Active,17,,DAYS INN,120 CHILDS RD,HARRIMAN,TN,,#I-40 & US 27/CHILDS RD (EXIT 347),
Active,18,,HOLIDAY INN EXPRESS,560 PEAVINE RD,CROSSVILLE,TN,,#I-40 & EXIT 322,
Active,19,,BAYMONT INN & SUITES,4038 HWY 127 N,CROSSVILLE,TN,,#I-40 & US 127 (EXIT 317),
Active,20,,EXECUTIVE INN,4083 HWY 127 N,CROSSVILLE,TN,,#I-40&US 127 (EXIT 317),
Active,21,,RED ROOF INN,105 EXECUTIVE DR,CROSSVILLE,TN,,#I-40 & US 127 (EXIT 317),
Active,22,,QUALITY INN & SUITES,522 E STRATTON AVE,MONTERAY,TN,,#I-40 & EXIT 301,
Active,23,,SUBURBAN SUITES,1814 SALEM RD,COOKEVILLE,TN,,#I-40 & EXIT 288,
Active,24,,BEST WESTERN,900 S JEFFERSON AVE,COOKEVILLE,TN,,#I-40 & BUNKER HILL RD ( EXIT 287),
Active,25,,MOTEL 6,1100 S JEFFERSON AVE,COOKEVILLE,TN,,#I-40 & INTERSTATE DR (EXIT 287),
Active,26,,LAQUINTA INN,1131 S JEFFERSON AVE,COOKEVILLE,TN,,#I-40 & S JEFFERSON AVE (EXIT 287),
Active,27,,LEGACY INN,663 SOUTH WILLOW AVE,COOKEVILLE,TN,,#I-40 & TN 135 (EXIT 286),
Active,28,,STAR MOTOR INN,1115 S WILLOW AVE,COOKEVILLE,TN,,#I-40 & BURGESS FALLS RD (EXIT 286),
Active,29,,QUALITY INN,479 GORDONSVILLE HWY,GORDONSVILLE,TN,,#I-40 & EXIT 258,
Active,30,,CEDAR VALLEY INN,631 S CUMBERLAND ST,LEBANON,TN,,#I-40 & US 231/S CUMBERLAND ST (EXIT 238),
Active,31,,KNIGHTS INN,903 MURFREESBORO RD,LEBANON,TN,,#I-40 & US 231 (EXIT 238),
Active,32,,RAMADA INN,704 S CUMBERLAND ST,LEBANON,TN,,#I-40 & US 231 (EXIT 238),
Removed,,ECONOLODGE,5505 MERCHANT CTR BLVD,"KNOXVILLE, TN",#I-75 & ADVANTAGE PLACE/MERCHANTS,,,,
Removed,,EXTENDED STAY SUITES,897 SO JEFFERSON AVE,"COOKEVILLE, TN",#I-40 & EXIT 287,,,,
Removed,,Closed,INN OF KNOXVILLE,1500 N CHERRY ST,KNOXVILLE,TN,,#I-40 & CHERRY ST (EXIT 390),
Removed,,RED ROOF INN,208 MARKET PL BLVD,"KNOXVILLE, TN",#I-40/75 NORTH PETER RD,,,,
Removed,,RED ROOF INN & SUITES,1315 KIRBY RD,"KNOXVILLE, TN",#I-40/75 & PAPERMILL RD (383),,,,
Removed,,Closed,VALUE INN,3207 E MAGNOLIA AVE,KNOXVILLE,TN,,#I-40 & EXIT 394 (ASHVILLE HWY),
Removed,,Corp says no rack 7'25,HAMPTON INN (was #19),64 HOSPITALITY DR,CROSSVILLE,TN,,#I-40 & EXIT 322,
Removed,,Remove- remodeling 3'26,ECONOLODGE,1211 HWY 321 N,LENOIR CITY,TN,,I-40 & Exit 364- Go 75 South (Keith),
