Status,Step #,Rack Placement/Note,Business Name,Address,City,State,ZIP,Highway/Exit,Notes
Active,1,Hall left of lobby-vend,SURESTAY INN,2307 SOUTHGATE PKWY,CAMBRIDGE,OH,,#I-70 & EXIT 178,
Active,2,Lobby,HOLIDAY INN EXPRESS,2035 SOUTHGATE PKWY,CAMBRIDGE,OH,,#I-70 & EXIT 178,
Active,3,Lobby,QUALITY INN,1945 SOUTHGATE PKWY,CAMBRIDGE,OH,,#I-70 & EXIT 178,
Active,4,Back foyer-vend,DAYS INN,2328 SOUTHGATE PKWY,CAMBRIDGE,OH,,#I-70 & EXIT 178,
Active,5,Lobby,SUPER 8,299 ADENA DRIVE,NEWCOMERSTOWN,OH,,#I-77 & US 36 (EXIT 65),
Active,,,,,,,,,UNPARSED
Active,181,Foyer* bad rack- told K to replace DAYS INN,BLUEBELL DR SW,,NEW PHILADELPHIA,OH,,#I-77 & US 250 (EXIT 81),
Active,7,Lobby,KNIGHTS INN,3950 CONVENIENCE CIRCLE,CANTON,OH,,#I-77 & EXIT 109,
Active,8,Lobby,M STAR MAGUSON HOTEL,500 N. MAIN ST,NORTH CANTON,OH,,#I-77 & EXIT 111,
Active,9,Lobby/vending,RODEWAY INN,6880 SUNSET STRIP AVENUE NW,CANTON,OH,,#I-77 & EXIT 111,
Active,10,Lobby,SUPER 8,1605 CORPORATE WOODS PKWY,UNIONTOWN,OH,,#I-77 & EXIT 118,
Active,11,Laundry room,EXTENDED STAY OF AMERICA,185 MONTROSE WEST AVENUE,AKRON,OH,,#I-77 & EXIT 137B,
Active,12,Lobby,COPLEY INN & SUITES,70 ROTHROCK LOOP,AKRON,OH,,#I-77 & EXIT 137,
Active,13,Lobby,ECONOLODGE,79 ROTHROCK LOOP,AKRON,OH,,#I-77 & EXIT 137A,
Active,15,Lobby,ECONOLODGE,9789 SR 14,STREETSBORO,OH,,#I-480 & RT 14,
Active,16,Just past lobby,COMFORT INN,9172 MARKET SQUARE,STREETSBORO,OH,,#I-480 & EXIT 13,
Active,19,Laundry room,SUPER 8,8848 TWINS HILL PKWY,TWINSBURG,OH,,#I-480 & RT 14 (EXIT 36),
Active,20,Lobby,QUALITY INN & SUITES,4742 BRECKSVILLE,RICHFIELD,OH,,#I-77 & OH 21 (EXIT 146),
Active,21,Lobby,SUPER 8,4548 BRECKSVILLE ROAD,RICHFIELD,OH,,#I-80/77 & EXIT 146,
Active,22,Foyer,COMFORT INN,1800 EUCLID AVE,CLEVELAND,OH,,#I-90 EXIT 173B,
Active,23,foyer,DAYS INN,12019 LAKE AVE,LAKEWOOD,OH,,,
Active,24,foyer,TRAVELODGE,11837 EDGEWATER DR,LAKEWOOD,OH,,,
Active,25,Lobby,WILLOW LODGE,35110 MAPLEGROVE ROAD,WILLOUGHBY,OH,,#I-90 & OH 91(EXIT 189),
Active,26,Lobby,SKYLIGHT INN & SUITES,34600 MAPLE GROVE ROAD,WILLOUGHBY,OH,,#I-90 & OH 91 (EXIT 189),
Active,27,Hall behind lobby,COMFORT INN & SUITES,7581 AUBURN ROAD,PAINESVILLE,OH,,#I-90 & EXIT 200,
Active,28,Inside door next to lobby,SUPER 8,7325 PALLISADES PKWY,MENTOR,OH,,#I-90 & EXIT 193 HWY 2 & RT 306,
Active,29,Foyer,HOLIDAY INN EXPRESS BROOK PARK 16330 SNOW ROAD,"CLEVELAND, OH",#I-71 & EXIT 237,,,,
Active,30,Lobby,COMFORT INN,17550 ROSBOUGH DR,CLEVELAND,OH,,#I-71 & EXIT 235 1 of 2,
Active,31,Vend next to lobby,MOTEL 6,7219 ENGLE ROAD,CLEVELAND,OH,,#I-71 & EXIT 235,
Active,32,Lobby,KINGS INN,9197 PEARL ROAD,STRONGSVILLE,OH,,#I-71 & EXIT 234,
Active,33,Lobby,SUPER 8,15385 ROYALTON ROAD,STRONGSVILLE,OH,,#I-71 & US 82 (EXIT 231),
Active,34,Foyer,QUALITY INN,1435 S CARPENTER DR,BRUNSWICK,OH,,#I-71 & EXIT 226,
Active,35,Building 2,SUPER 8,736 US HWY 250 E,ASHLAND,OH,,#I-71 & US 250 (EXIT 186),
Active,36,Lobby,QUALITY INN & SUITES,2850 MEDINA RD,MEDINA,OH,,#I-71 & OH 18 (EXIT 218),
Active,37,Lobby,MOTEL 6,3122 EASTPOINTE DRIVE,MEDINA,OH,,#I-71 & RT 18 (EXIT 218),
Active,38,Area next to lobby,RED ROOF INN,5021 EASTPOINTE DR,MEDINA,OH,,#I-71 & RT 18 (EXIT 218),
Active,39,Lobby,COMFORT INN,4949 PARKE AVENUE W,SEVILLE,OH,,#I-71 & OH 224 & I-76(EXIT 209),
Active,40,Foyer,SUPER 8,6116 SPEEDWAY DR,SEVILLE,OH,,#I-71 & I-76/224 W (EXIT 209),
Active,41,Foyer,SUPER 8,5161 MONTVILLE DR,MEDINA,OH,,#I-71 & EXIT 218,
Active,42,Right hall-vend,WINGATE BY WYNDHAM,1392 ENTERPRISE PKWY,ASHLAND,OH,,#I-71 & EXIT 186,
Active,43,Behind office,QUALITY INN & SUITES,741 US HWY 250 E,ASHLAND,OH,,#I-71 & EXIT 186,
Active,44,Lobby,MOTEL 6,1423 MONTGOMERY RD,ASHLAND,OH,,#I-71 & EXIT 186,
Active,45,Lobby,RODEWAY INN,880 LAVER ROAD,MANSFIELD,OH,,#I-71 & US 30 &EXIT 176,
Active,46,Lobby,RED ROOF INN,2425 INTERSTATE CIRCLE,MANSFIELD,OH,,#I-71 & OH 13 (EXIT 169),
Active,47,Lobby,TRAVELODGE BY WYNDHAM,90 WEST HANLEY ROAD,MANSFIELD,OH,,#I-71 & OH 13 (EXIT 169),
Active,48,Foyer,QUALITY INN & CONF CTR,1000 COMFORT PLAZA DRIVE,BELLVILLE,OH,,#I-71 & EXIT 165,
Active,49,Foyer,COMFORT INN,855 COMFORT PLAZA DR,BELLVILLE,OH,,#I-71 & EXIT 165,
Removed,,2'25,BAYMONT INN/Majestic Inn,5335 BROADMOOR CIR NW,CANTON,OH,,#I-77 & EXIT 109,^ told Keith not allowed
Removed,1420,5'25 COUNTRY INN & SUITES,MAIN STREET,,AKRON,OH,,(Cuyahoga Falls) #I-77 & EXIT 125,
Removed,,6'25,RED ROOF INN,2248 SOUTHGATE PKWY,CAMBRIDGE,OH,,#I-70 & EXIT 178,^rack dumped per Keith
